schoolID,CODE,NAME,ABB_NAME,X,Y
82,Elementary,Giddens School,Giddens,552170.1157,5271734.489
83,Elementary,Sand Point School,Sand Point,555327.5066,5280292.208
84,Elementary,Sand Point Elementary School,Sand Point,555327.8112,5280292.216
85,Elementary,Brighton School,Brighton,554415.0996,5265622.324
86,Elementary,West Seattle Elementary School,West Seattle,547147.0711,5265561.481
87,College or University,South Seattle College-Georgetown Campus,SSC Georgetown,550805.3382,5265574.611
88,Elementary,St. Joseph School,St. Joseph,551971.5732,5274906.911
89,Elementary,View Ridge Elementary School,View Ridge,554325.9606,5281059.341
90,College or University,Cornish College Kerry Hall,Cornish College Kerry Hall,550863.1569,5274878.211
91,Junior High/Middle,Billings Middle School,Billings,550644.83,5281053.749
92,Elementary,Concord International Elementary School,Concord,550837.1123,5263574.728
93,High,Holy Names Academy,Holy Names,552269.9488,5275016.797
94,Elementary,Northwest Montessori - West Seattle,Northwest Montessori,546947.0382,5264923.993
95,Elementary,Northwest Montessori - Wedgwood,Northwest Montessori,552511.4287,5281220.204
96,Elementary,Decatur Elementary School,Decatur,553822.3649,5281603.009
97,Alternative,Thornton Creek Elementary School,Thornton Creek,553822.3564,5281603.313
98,High,Waldorf High School Campus,Waldorf High,555162.3807,5281862.264
99,Elementary,Daniel Bagley Elementary School,Daniel Bagley,549347.2242,5281639.414
100,High,University Prep Academy,U Prep,552502.4006,5281747.59
101,High,O Dea High School,O Dea,550746.3822,5272926.251
102,Elementary,Fairview Christian School,Fairview Christian,551145.2507,5281588.44
103,Elementary,St. Catherine of Siena Parish School,St. Catherine,551033.7737,5282138.552
104,High,Rainier Beach High School,Rainier Beach,555265.2733,5263666.135
105,Elementary,St. Therese Catholic Academy,St. Therese,553509.4127,5273331.845
106,Elementary,Spruce Street School,Spruce Street,549947.2288,5273932.853
107,Junior High/Middle,Whitman Middle School,Whitman,546699.422,5282783.957
108,Elementary,Roxhill Elementary School,Roxhill,547392.6929,5262893.682
109,Elementary,Sacajawea Elementary School,Sacajawea,551948.2625,5283015.913
110,Elementary,Highland Park Elementary School,Highland Park,549046.4997,5263743.298
111,Alternative,Cedar Park Elementary School,Cedar Park,553427.9228,5286072.161
112,Elementary,Bertschi School,Bertschi,551051.3324,5276436.837
113,High,Seattle Preparatory School,Seattle Prep,551262.9787,5276628.416
114,College or University,Seattle Pacific University,Seattle Pacific U,547864.1359,5277555.875
115,Elementary,Pacific Crest School,Pacific Crest,547737.027,5278727.366
116,College or University,Seattle University,Seattle U,551322.4285,5273253.648
117,Elementary,Bailey Gatzert Elementary School,Bailey Gatzert,551444.7583,5272197.55
118,Elementary,Seattle Hebrew Academy,Seattle Hebrew,551989.0609,5275901.101
119,Elementary,Beacon Hill International Elementary School,Beacon Hill,551497.9485,5270455.815
120,Elementary,Catharine Blaine K-8 School,Catharine Blaine,545035.5415,5276771.959
121,Elementary,Dunlap Elementary School,Dunlap,554588.432,5263758.695
122,Elementary,Rainier View Elementary School-Seattle,Rainier View,555494.1338,5260866.471
123,Elementary,St. Alphonsus School,St. Alphonsus,546871.3283,5279970.86
124,College or University,Seattle Central College,Seattle Central,550997.3498,5273944.556
125,Alternative,Cascade Parent Partnership Program,Cascade PPP,548170.2863,5277185.829
126,High,Franklin High School,Franklin,553121.2279,5269405.575
127,Elementary,Our Lady of Fatima Parish School,Our Lady of Fatima,545125.5652,5277379.415
128,Alternative,Interagency Academy,Interagency Academy,553630.4624,5267441.986
129,Elementary,Genesee Hill Elementary School,Genesee Hill,545365.8399,5268184.627
130,Elementary,Olympic View Elementary School-Seattle,Olympic View,550925.3483,5282981.375
131,Alternative,Orca K-8 School,Orca,554473.483,5267071.86
132,Elementary,Martin Luther King Jr. Elementary School,MLK Jr.,554415.1004,5265622.472
133,Elementary,The Perkins School,Perkins,551172.5976,5282546.032
134,High,Roosevelt High School,Roosevelt,551587.3193,5280630.933
135,Alternative,John Stanford International Elementary School at Latona,John Stanford Intl,550755.2551,5278458.288
136,Elementary,Holy Family Bilingual Catholic School,Holy Family,548225.1933,5262815.256
137,Elementary,Van Asselt Elementary School,Van Asselt,553006.0465,5265141.394
138,Junior High/Middle,Alexander Hamilton International Middle School,Alexander Hamilton Intl,549706.25,5278441.309
139,Elementary,Captain Stephen E. Sanislo Elementary School,Sanislo,548265.1839,5265331.054
140,Elementary,Frantz H. Coe Elementary School,Frantz Coe,547651.2337,5276541.26
141,Junior High/Middle,Edmonds S. Meany Middle School,Edmond S. Meany,552199.1344,5274477.723
142,Elementary,Northwest Montessori - Woodland Park,Northwest Montessori,548526.5105,5279247.621
143,Junior High/Middle,Nathan Eckstein Middle School,Nathan Eckstein,552921.1179,5281263.112
144,Junior High/Middle,Robert Eagle Staff Middle School,Robert Eagle Staff,549485.9858,5282623.912
145,Junior High/Middle,Lakeside Middle School,Lakeside Middle,550415.157,5286286.51
146,Alternative,Seattle World School,Seattle World,551907.8817,5273560.887
147,Junior High/Middle,Aki Kurose Middle School,Aki Kurose,554028.7392,5266127.523
148,College or University,University of Washington,UW,552165.0582,5278218.688
149,Alternative,Middle College High School at Seattle University,Middle College at Seattle U,551322.4925,5273253.554
150,Elementary,North Beach Elementary School,North Beach,545988.5304,5282569.197
151,Elementary,Emerson Elementary School,Emerson,555818.8744,5262643.183
152,College or University,North Seattle College,North Seattle College,550072.0348,5283105.23
153,Alternative,Cascadia Elementary School,Cascadia,549563.5518,5278714.072
154,Elementary,Captain George W. Kimball Elementary School,Kimball,552418.5529,5269194.444
155,Alternative,Hamlin Robinson School,HRS,552133.7973,5270770.257
156,Alternative,Nova High School,Nova,552545.5342,5273008.185
157,Elementary,Thurgood Marshall Elementary School,Thurgood Marshall,552639.7309,5271076.174
158,High,Puget Sound Community School,Puget Sound Comm,550796.4599,5271653.535
159,High,South Lake High School,South Lake,554883.3284,5263840.433
160,Junior High/Middle,James Madison Middle School,James Madison,545856.2594,5269020.783
161,Elementary,St George Parish School,St. George,551428.8147,5267165.25
162,Junior High/Middle,Jane Addams Middle School,Jane Addams,553052.6308,5284295.488
163,Elementary,Northgate Elementary School,Northgate,550302.944,5284823.884
164,Alternative,TOPS K-8 School (The Option Program at Seward),TOPS,550760.7878,5276764.276
165,Elementary,Our Lady of Guadalupe Catholic School,Our Lady of Guadalupe,546988.1847,5265238.797
166,Junior High/Middle,Worth McClure Middle School,Worth McClure,548156.1327,5276135.413
167,High,Nathan Hale High School,Nathan Hale,552906.2439,5284092.022
168,Elementary,Laurelhurst Elementary School,Laurelhurst,554219.8911,5279008.591
169,High,Bishop Blanchet High School,Blanchet,549867.294,5282028.041
170,High,St. Christopher Academy,St. Christopher,546294.5885,5268141.526
171,Elementary,Gatewood Elementary School,Gatewood,546019.0691,5265384.403
172,Elementary,Loyal Heights Elementary School,Loyal Heights,545852.6029,5281625.019
173,Junior High/Middle,Lake Washington Girls Middle School,LWGMS,551968.1842,5273139.498
174,Elementary,Concordia Lutheran School,Concordia Lutheran,553356.0726,5281036.051
175,Elementary,Epiphany School,Epiphany,553594.362,5274102.244
176,Alternative,Hazel Wolf K-8 School,Hazel Wolf,551408.8993,5284680.307
177,High,Ballard High School,Ballard,546879.3567,5280557.455
178,High,The Northwest School,Northwest,550655.9549,5273551.933
179,Elementary,Dearborn Park International Elementary School,Dearborn Park Intl,552946.3812,5266777.777
180,High,James A. Garfield High School,Garfield,552476.6589,5272649.618
181,Elementary,Viewlands Elementary School,Viewlands,547927.0928,5283818.875
182,High,Seattle Lutheran High School,Seattle Lutheran,546294.597,5268141.222
183,Other Facility,Stadium/Athletic Office,Stadium/Athletic Office,548848.2016,5274589.942
